,Sleep,Nutrition,Fatigue,Motivation to Workout,Life Stress,RPE,jump_score
Sleep,1.0,-0.19331845399182582,-0.07906593240248054,0.4269543981358114,0.08497140081734089,0.568321756836134,0.29559107984339017
Nutrition,-0.19331845399182582,1.0,-0.2902859099292916,0.004430184541914936,-0.39700623407593383,-0.15257180435224213,-0.3561567324457521
Fatigue,-0.07906593240248054,-0.2902859099292916,1.0,-0.3138365196487136,0.42834308586869846,-0.08970597836085445,0.0645969622249379
Motivation to Workout,0.4269543981358114,0.004430184541914936,-0.3138365196487136,1.0,0.10128710753886011,0.5433441241569373,0.1351707618015423
Life Stress,0.08497140081734089,-0.39700623407593383,0.42834308586869846,0.10128710753886011,1.0,-0.10923514254153979,0.3199585993905736
RPE,0.568321756836134,-0.15257180435224213,-0.08970597836085445,0.5433441241569373,-0.10923514254153979,1.0,0.20613013064004823
jump_score,0.29559107984339017,-0.3561567324457521,0.0645969622249379,0.1351707618015423,0.3199585993905736,0.20613013064004823,1.0
